Date ID,Day of Month,Day of Week,Is Weekend,Month Name,Quarter,Month,Year,Date
0,3,1,0,October,4,10,2011,2011-10-03 00:00:00
1,14,1,0,October,4,10,2013,2013-10-14 00:00:00
2,31,2,0,December,4,12,2013,2013-12-31 00:00:00
3,5,3,0,November,4,11,2014,2014-11-05 00:00:00
4,13,6,1,December,4,12,2014,2014-12-13 00:00:00
5,7,5,1,March,1,3,2014,2014-03-07 00:00:00
6,10,1,0,January,1,1,2011,2011-01-10 00:00:00
7,16,2,0,August,3,8,2011,2011-08-16 00:00:00
8,15,4,0,December,4,12,2011,2011-12-15 00:00:00
9,1,6,1,January,1,1,2011,2011-01-01 00:00:00
10,13,6,1,August,3,8,2011,2011-08-13 00:00:00
11,11,5,1,March,1,3,2011,2011-03-11 00:00:00
12,3,4,0,March,1,3,2011,2011-03-03 00:00:00
13,2,3,0,November,4,11,2011,2011-11-02 00:00:00
14,15,3,0,June,2,6,2011,2011-06-15 00:00:00
15,7,1,0,November,4,11,2011,2011-11-07 00:00:00
16,20,2,0,December,4,12,2011,2011-12-20 00:00:00
17,23,3,0,November,4,11,2011,2011-11-23 00:00:00
18,7,5,1,January,1,1,2011,2011-01-07 00:00:00
19,24,2,0,May,2,5,2011,2011-05-24 00:00:00
20,25,5,1,February,1,2,2011,2011-02-25 00:00:00
21,19,2,0,July,3,7,2011,2011-07-19 00:00:00
22,26,1,0,December,4,12,2011,2011-12-26 00:00:00
23,22,5,1,April,2,4,2011,2011-04-22 00:00:00
24,22,4,0,December,4,12,2011,2011-12-22 00:00:00
25,26,0,0,June,2,6,2011,2011-06-26 00:00:00
26,30,5,1,November,4,11,2012,2012-11-30 00:00:00
27,31,2,0,July,3,7,2012,2012-07-31 00:00:00
28,29,4,0,November,4,11,2012,2012-11-29 00:00:00
29,9,5,1,November,4,11,2012,2012-11-09 00:00:00
30,31,5,1,August,3,8,2012,2012-08-31 00:00:00
31,19,6,1,May,2,5,2012,2012-05-19 00:00:00
32,19,1,0,March,1,3,2012,2012-03-19 00:00:00
33,28,1,0,May,2,5,2012,2012-05-28 00:00:00
34,10,1,0,December,4,12,2012,2012-12-10 00:00:00
35,16,5,1,November,4,11,2012,2012-11-16 00:00:00
36,5,4,0,January,1,1,2012,2012-01-05 00:00:00
37,20,1,0,August,3,8,2012,2012-08-20 00:00:00
38,26,1,0,November,4,11,2012,2012-11-26 00:00:00
39,8,3,0,August,3,8,2012,2012-08-08 00:00:00
40,18,2,0,September,3,9,2012,2012-09-18 00:00:00
41,9,4,0,August,3,8,2012,2012-08-09 00:00:00
42,11,2,0,June,2,6,2013,2013-06-11 00:00:00
43,7,6,1,September,3,9,2013,2013-09-07 00:00:00
44,21,2,0,May,2,5,2013,2013-05-21 00:00:00
45,26,5,1,April,2,4,2013,2013-04-26 00:00:00
46,24,6,1,August,3,8,2013,2013-08-24 00:00:00
47,18,4,0,July,3,7,2013,2013-07-18 00:00:00
48,8,5,1,March,1,3,2013,2013-03-08 00:00:00
49,2,2,0,April,2,4,2013,2013-04-02 00:00:00
50,1,3,0,May,2,5,2013,2013-05-01 00:00:00
51,5,2,0,November,4,11,2013,2013-11-05 00:00:00
52,14,4,0,March,1,3,2013,2013-03-14 00:00:00
53,23,5,1,August,3,8,2013,2013-08-23 00:00:00
54,4,1,0,February,1,2,2013,2013-02-04 00:00:00
55,10,2,0,December,4,12,2013,2013-12-10 00:00:00
56,10,3,0,July,3,7,2013,2013-07-10 00:00:00
57,26,1,0,August,3,8,2013,2013-08-26 00:00:00
58,30,5,1,August,3,8,2013,2013-08-30 00:00:00
59,12,4,0,September,3,9,2013,2013-09-12 00:00:00
60,30,1,0,September,3,9,2013,2013-09-30 00:00:00
61,1,3,0,January,1,1,2014,2014-01-01 00:00:00
62,30,2,0,December,4,12,2014,2014-12-30 00:00:00
63,27,1,0,October,4,10,2014,2014-10-27 00:00:00
