Order ID,Ship Mode,Count of Shipping ID
AE-2011-9160,Standard Class,1
AE-2013-1130,Same Day,1
AE-2013-1530,Second Class,1
AE-2014-2840,First Class,1
AE-2014-3830,Standard Class,1
AE-2014-4120,Standard Class,1
AG-2011-1070,Second Class,1
AG-2011-1390,Standard Class,1
AG-2011-1440,Standard Class,1
AG-2011-2040,Standard Class,1
AG-2011-3090,Standard Class,1
AG-2011-3130,Standard Class,1
AG-2011-380,Standard Class,1
AG-2011-4410,First Class,1
AG-2011-4450,Same Day,1
AG-2011-450,Standard Class,1
AG-2011-4560,Standard Class,1
AG-2011-500,Standard Class,1
AG-2011-60,Second Class,1
AG-2011-7230,Standard Class,1
AG-2011-7710,First Class,1
AG-2011-8180,Same Day,1
AG-2011-8390,Standard Class,1
AG-2011-8930,Same Day,1
AG-2011-9060,Standard Class,1
AG-2011-9610,First Class,1
AG-2011-9670,First Class,1
AG-2011-9890,Standard Class,1
AG-2012-170,Second Class,1
AG-2012-1940,Standard Class,1
AG-2012-2200,First Class,1
AG-2012-2220,Standard Class,1
AG-2012-2430,Standard Class,1
AG-2012-3190,Standard Class,1
AG-2012-4060,First Class,1
AG-2012-4630,Second Class,1
AG-2012-4750,Standard Class,1
AG-2012-4910,Standard Class,1
AG-2012-5400,Same Day,1
AG-2012-6020,Standard Class,1
AG-2012-6390,Standard Class,1
AG-2012-7530,Standard Class,1
AG-2012-8490,Standard Class,1
AG-2012-8660,Standard Class,1
AG-2013-2580,Standard Class,1
AG-2013-2690,Second Class,1
AG-2013-2840,First Class,1
AG-2013-2970,Standard Class,1
AG-2013-3970,Standard Class,1
AG-2013-4150,Second Class,1
AG-2013-5140,First Class,1
AG-2013-5250,Standard Class,1
AG-2013-5570,First Class,1
AG-2013-5820,First Class,1
AG-2013-6090,Standard Class,1
AG-2013-640,Second Class,1
AG-2013-6520,Standard Class,1
AG-2013-6630,First Class,1
AG-2013-6810,Second Class,1
AG-2013-7890,Second Class,1
AG-2013-8490,Second Class,1
AG-2013-8990,First Class,1
AG-2013-9570,Standard Class,1
AG-2013-9890,Standard Class,1
AG-2014-2040,Standard Class,1
AG-2014-2110,Second Class,1
AG-2014-2230,Second Class,1
AG-2014-2280,Standard Class,1
AG-2014-2360,Standard Class,1
AG-2014-2600,Second Class,1
